iter	Passed	Remaining
1513	7765	2492
1514	7769	2487
1515	7773	2481
1516	7777	2476
1517	7780	2470
1518	7784	2465
1519	7788	2459
1520	7792	2454
1521	7796	2448
1522	7799	2442
1523	7803	2437
1524	7807	2431
1525	7811	2426
1526	7815	2420
1527	7819	2415
1528	7823	2409
1529	7826	2404
1530	7831	2399
1531	7835	2393
1532	7839	2388
1533	7842	2382
1534	7846	2377
1535	7850	2371
1536	7854	2365
1537	7858	2360
1538	7861	2354
1539	7865	2349
1540	7869	2343
1541	7873	2338
1542	7877	2333
1543	7881	2327
1544	7885	2322
1545	7888	2316
1546	7892	2311
1547	7897	2305
1548	7903	2301
1549	7908	2295
1550	7911	2290
1551	7916	2285
1552	7919	2279
1553	7923	2274
1554	7927	2268
1555	7931	2263
1556	7935	2257
1557	7939	2252
1558	7943	2247
1559	7947	2241
1560	7951	2236
1561	7955	2230
1562	7958	2225
1563	7962	2219
1564	7966	2214
1565	7970	2208
1566	7974	2203
1567	7977	2197
1568	7981	2192
1569	7985	2187
1570	7989	2181
1571	7993	2176
1572	7996	2170
1573	8000	2165
1574	8004	2159
1575	8008	2154
1576	8012	2149
1577	8015	2143
1578	8019	2138
1579	8023	2132
1580	8028	2127
1581	8031	2122
1582	8035	2116
1583	8039	2111
1584	8043	2105
1585	8047	2100
1586	8051	2095
1587	8055	2089
1588	8060	2084
1589	8069	2080
1590	8079	2076
1591	8088	2072
1592	8097	2068
1593	8105	2064
1594	8113	2060
1595	8118	2055
1596	8122	2049
1597	8127	2044
1598	8132	2039
1599	8136	2034
1600	8140	2028
1601	8145	2023
1602	8149	2018
1603	8153	2012
1604	8157	2007
1605	8161	2002
1606	8165	1996
1607	8171	1992
1608	8175	1986
1609	8179	1981
1610	8183	1975
1611	8189	1971
1612	8192	1965
1613	8197	1960
1614	8200	1955
1615	8204	1949
1616	8208	1944
1617	8213	1939
1618	8217	1933
1619	8220	1928
1620	8224	1923
1621	8229	1917
1622	8233	1912
1623	8237	1907
1624	8241	1901
1625	8245	1896
1626	8249	1891
1627	8253	1885
1628	8257	1880
1629	8261	1875
1630	8265	1870
1631	8269	1864
1632	8273	1859
1633	8277	1854
1634	8281	1848
1635	8285	1843
1636	8289	1838
1637	8293	1832
1638	8296	1827
1639	8300	1822
1640	8304	1816
1641	8308	1811
1642	8312	1806
1643	8316	1800
1644	8319	1795
1645	8323	1790
1646	8328	1784
1647	8331	1779
1648	8335	1774
1649	8339	1769
1650	8343	1763
1651	8347	1758
1652	8351	1753
1653	8355	1747
1654	8359	1742
1655	8362	1737
1656	8366	1731
1657	8370	1726
1658	8374	1721
1659	8378	1716
1660	8382	1710
1661	8386	1705
1662	8390	1700
1663	8394	1694
1664	8398	1689
1665	8402	1684
1666	8405	1679
1667	8409	1673
1668	8413	1668
1669	8417	1663
1670	8420	1657
1671	8425	1652
1672	8429	1647
1673	8433	1642
1674	8437	1637
1675	8440	1631
1676	8444	1626
1677	8448	1621
1678	8452	1616
1679	8456	1610
